,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
90,30,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(647.5, 896.0, 180)"
91,30,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
92,30,2,XM5,-3418.919517171891,3188.0,53323.82341089936,"(662, 617, 180)","(662.0, 617.0, 180)"
93,31,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 338.0, 180)"
94,31,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
95,31,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(662, 617, 180)","(662.0, 617.0, 180)"
96,32,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 338.0, 180)"
97,32,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
98,32,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(662, 617, 180)","(662.0, 617.0, 180)"
99,33,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 338.0, 180)"
100,33,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
101,33,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(662, 617, 180)","(662.0, 617.0, 180)"
102,34,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
103,34,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
104,34,2,XM5,-3416.987345946814,3188.0,52435.204603765946,"(662, 617, 180)","(662.0, 617.0, 180)"
105,35,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(647.5, 896.0, 180)"
106,35,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
107,35,2,XM5,-3418.919517171891,3188.0,53323.82341089936,"(662, 617, 180)","(662.0, 617.0, 180)"
108,36,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 338.0, 180)"
109,36,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
110,36,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(662, 617, 180)","(662.0, 617.0, 180)"
111,37,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
112,37,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
113,37,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
114,38,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
115,38,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
116,38,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
117,39,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 338.0, 180)"
118,39,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
119,39,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(662, 617, 180)","(662.0, 617.0, 180)"
120,40,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 338.0, 180)"
121,40,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
122,40,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(662, 617, 180)","(662.0, 617.0, 180)"
123,41,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
124,41,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
125,41,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
126,42,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 338.0, 180)"
127,42,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
128,42,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(662, 617, 180)","(662.0, 617.0, 180)"
129,43,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
130,43,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
131,43,2,XM5,-3416.987345946814,3188.0,52435.204603765946,"(662, 617, 180)","(662.0, 617.0, 180)"
132,44,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
133,44,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
134,44,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
135,45,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
136,45,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
137,45,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
138,46,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
